topic_slug,question,A,B,C,D,correct_answer,explanation_vi,difficulty
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Trang siêu văn bản (Hypertext) là gì?,Là một loại phần mềm giúp truy cập Internet.,"Là trang văn bản đặc biệt, tích hợp nhiều dạng dữ liệu và chứa các liên kết.",Là một trang văn bản chỉ chứa chữ viết và không có hình ảnh.,Là địa chỉ duy nhất của một website.,B,"Trang siêu văn bản là trang văn bản đặc biệt, tích hợp nhiều dạng dữ liệu (văn bản, hình ảnh, âm thanh) và chứa các liên kết đến vị trí khác hoặc trang web khác.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,"Mối quan hệ giữa ""trang web"" và ""trang siêu văn bản"" là gì?","Trang web chỉ là văn bản thuần túy, còn trang siêu văn bản có thêm hình ảnh.",Mỗi trang web là một trang siêu văn bản được gán cho một địa chỉ truy cập trên Internet.,Trang siêu văn bản là tập hợp các trang web liên quan.,Trang web và trang siêu văn bản là hai khái niệm hoàn toàn khác nhau.,B,Mỗi trang web thực chất là một trang siêu văn bản được gán cho một địa chỉ truy cập cụ thể trên Internet.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Khái niệm Website được định nghĩa như thế nào?,Là một trang web duy nhất chứa tất cả thông tin.,Là tập hợp các trang web không liên quan đến nhau.,"Là tập hợp các trang web liên quan, truy cập qua một địa chỉ duy nhất.",Là một phần mềm dùng để xem phim trực tuyến.,C,"Website là tập hợp các trang web có liên quan đến nhau, được truy cập thông qua một địa chỉ duy nhất.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,"Sự khác biệt chính giữa ""trang web"" và ""website"" là gì?","Trang web là một trang siêu văn bản, còn website là tập hợp nhiều trang web liên quan.","Trang web là một phần mềm, còn website là một tập tin.","Trang web cần trình duyệt để mở, còn website thì không.","Trang web có địa chỉ, còn website thì không.",A,"Trang web là một trang siêu văn bản cụ thể, trong khi website là một tập hợp các trang web có liên quan đến nhau, thường có chung một địa chỉ chính.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Trang chủ (homepage) của một website là gì?,Là trang đầu tiên xuất hiện khi truy cập một website.,Là trang cuối cùng mà người dùng truy cập trước khi thoát.,Là trang có nhiều hình ảnh nhất trên website.,Là trang chỉ chứa các liên kết đến website khác.,A,Trang chủ là trang đầu tiên mà người dùng nhìn thấy khi truy cập vào một website.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Phần mềm nào giúp người dùng truy cập và xem các trang web?,Hệ điều hành.,Trình duyệt web.,Phần mềm soạn thảo văn bản.,Phần mềm diệt virus.,B,Trình duyệt web là phần mềm ứng dụng được thiết kế để giúp người dùng truy cập và xem các trang web trên Internet.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Đâu là một ví dụ về trình duyệt web phổ biến?,Microsoft Word,Google Chrome,Adobe Photoshop,Windows Explorer,B,Google Chrome là một trong những trình duyệt web phổ biến nhất hiện nay.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,"Để truy cập một trang web cụ thể, bạn cần làm gì trong trình duyệt?",Khởi động lại trình duyệt.,Nhập địa chỉ trang web vào thanh địa chỉ và nhấn Enter.,Nhập tên trang web vào ô tìm kiếm và nhấn Enter.,Nháy vào bất kỳ liên kết nào trên trang hiện tại.,B,"Để truy cập một trang web, bạn cần nhập địa chỉ chính xác của trang đó vào thanh địa chỉ của trình duyệt và nhấn Enter.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,"Hoạt động ""duyệt web"" có nghĩa là gì?",Tải xuống các tệp tin từ Internet.,Gửi email cho bạn bè.,Di chuyển theo các liên kết để xem thông tin trên các trang web.,Soạn thảo văn bản trên một trang web.,C,Duyệt web là quá trình người dùng di chuyển từ trang này sang trang khác bằng cách nháy vào các liên kết để xem thông tin.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,"Để dễ dàng truy cập lại một trang web yêu thích mà không cần gõ lại địa chỉ, bạn có thể làm gì?",Ghi địa chỉ trang web ra giấy.,Chụp ảnh màn hình trang web đó.,Lưu địa chỉ trang web vào thanh đánh dấu (Bookmarks bar) của trình duyệt.,Chia sẻ trang web đó lên mạng xã hội.,C,Chức năng thanh đánh dấu (Bookmarks bar) trong trình duyệt giúp người dùng lưu lại địa chỉ các trang web để truy cập nhanh chóng trong tương lai.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Internet được mô tả là một kho thông tin như thế nào?,Nhỏ gọn và dễ quản lý.,"Khổng lồ, giúp tìm kiếm nhanh chóng và thuận tiện.",Chỉ chứa thông tin giải trí.,Chủ yếu là thông tin cá nhân.,B,"Internet là kho thông tin khổng lồ, việc tìm kiếm rất nhanh chóng và thuận tiện.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"""Máy tìm kiếm"" là gì?",Một phần mềm diệt virus.,Một thiết bị phần cứng để kết nối Internet.,Một website đặc biệt giúp người dùng tìm kiếm thông tin trên Internet.,Một ứng dụng trò chuyện trực tuyến.,C,Máy tìm kiếm là website đặc biệt giúp người dùng tìm thông tin trên Internet.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Từ khoá là gì trong việc tìm kiếm thông tin trên Internet?,Một từ hoặc cụm từ liên quan đến nội dung cần tìm kiếm.,Tên của máy tìm kiếm bạn đang sử dụng.,Địa chỉ của trang web bạn muốn truy cập.,Tên người tạo ra trang web.,A,Từ khoá là từ hoặc cụm từ liên quan nội dung cần tìm.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Tại sao việc chọn từ khoá phù hợp lại quan trọng khi tìm kiếm thông tin?,Để việc tìm kiếm đạt hiệu quả cao.,Để tránh các trang web quảng cáo.,Để máy tính chạy nhanh hơn.,Để thay đổi giao diện của máy tìm kiếm.,A,Chọn từ khoá phù hợp giúp việc tìm kiếm hiệu quả.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"Khi muốn thu hẹp phạm vi tìm kiếm để có kết quả chính xác hơn, người dùng nên làm gì với từ khoá?",Đặt từ khoá trong dấu ngoặc đơn ( ).,Thêm nhiều từ khoá không liên quan.,Viết hoa tất cả các chữ cái của từ khoá.,"Đặt từ khoá trong dấu ngoặc kép ("" "").",D,"Dùng dấu ngoặc kép ("" "") để thu hẹp phạm vi tìm kiếm.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"Trong tìm kiếm trên Internet, dấu cộng (+) và dấu trừ (-) có công dụng gì?","Dấu cộng để tăng cỡ chữ, dấu trừ để giảm cỡ chữ.","Dấu cộng để thêm từ khoá, dấu trừ để bớt từ khoá.","Dấu cộng để đánh dấu trang, dấu trừ để bỏ đánh dấu.","Dấu cộng để phóng to hình ảnh, dấu trừ để thu nhỏ hình ảnh.",B,Dùng dấu cộng (+) hoặc trừ (-) để thêm hoặc bớt từ khoá.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Kết quả tìm kiếm trên máy tìm kiếm thường là gì?,Một tập tin duy nhất chứa tất cả thông tin.,Một đoạn phim quảng cáo.,Một danh sách các liên kết trỏ đến các trang web chứa từ khoá.,Một trò chơi trực tuyến.,C,Kết quả tìm kiếm là danh sách các liên kết trỏ đến các trang web chứa từ khoá.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Các liên kết trong kết quả tìm kiếm có thể dẫn đến loại thông tin nào?,Chỉ có văn bản.,Chỉ có hình ảnh.,Chỉ có video.,"Văn bản, hình ảnh hoặc video.",D,"Các liên kết có thể là văn bản, hình ảnh, video.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"Trong danh sách kết quả tìm kiếm, thông tin liên quan nhất thường xuất hiện ở đâu?",Ở cuối danh sách.,Ngẫu nhiên ở bất kỳ vị trí nào.,Ở đầu danh sách.,Ở giữa danh sách.,C,Thông tin liên quan nhất thường ở đầu danh sách.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"Sau khi nhận được kết quả tìm kiếm, điều quan trọng cần làm trước khi sử dụng thông tin là gì?",Chia sẻ ngay lập tức cho bạn bè.,"Chọn lọc thông tin chính xác, phù hợp để dùng.",Tải xuống tất cả các liên kết.,Đóng trình duyệt và không xem nữa.,B,"Cần chọn lọc thông tin chính xác, phù hợp để dùng.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,"Khi sử dụng Internet, người dùng cần tuân thủ điều gì?",Chỉ cần tuân thủ luật lệ ở nhà.,Không cần tuân thủ bất kỳ quy định nào.,Chỉ tuân thủ các quy tắc của trò chơi trực tuyến.,Tuân thủ một số quy định của pháp luật.,D,"Khi sử dụng Internet, cần tuân thủ một số quy định của pháp luật.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Điều nào sau đây là đúng về thông tin trên Internet?,Mọi thông tin trên Internet đều đúng và an toàn.,Internet chỉ có thông tin bổ ích.,"Internet có thông tin bổ ích và cả độc hại, cần hỏi ý kiến bố mẹ trước khi truy cập.",Internet chỉ chứa thông tin giải trí.,C,"Internet có thông tin bổ ích và cả độc hại, cần cẩn trọng và hỏi ý kiến bố mẹ.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-7-tim-kiem-thong-tin-tren-internet,Lời khuyên nào sau đây là đúng khi chia sẻ thông tin cá nhân trên Internet?,Nên chia sẻ mọi thông tin cá nhân để kết bạn.,Chia sẻ thông tin cá nhân là hoàn toàn an toàn.,Chỉ chia sẻ thông tin cá nhân với người lạ.,Cần thận trọng khi chia sẻ thông tin cá nhân trên Internet.,D,Cần thận trọng khi chia sẻ thông tin cá nhân trên Internet.,2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Thư điện tử (email) là gì?,Thư được gửi và nhận qua mạng máy tính.,Thư chỉ dùng để trao đổi văn bản giữa hai người.,Thư được gửi và nhận bằng bưu điện truyền thống.,Thư chỉ có thể gửi cho người ở gần.,A,Thư điện tử là phương tiện trao đổi thông tin qua mạng máy tính.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Dịch vụ thư điện tử cung cấp những chức năng nào?,"Soạn, gửi, nhận, lưu trữ và quản lí thư.",Chỉ soạn và gửi thư.,Chỉ nhận và đọc thư.,Chỉ gửi thư cho một người duy nhất.,A,"Dịch vụ thư điện tử cung cấp đầy đủ các chức năng như soạn, gửi, nhận, lưu trữ và quản lí thư.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,"Để có thể sử dụng dịch vụ thư điện tử, người dùng cần làm gì?",Mua một chiếc điện thoại thông minh.,Chỉ cần có kết nối internet.,Nhờ người khác tạo thư giúp mình.,Đăng ký một tài khoản thư điện tử với nhà cung cấp dịch vụ.,D,Người dùng cần đăng ký tài khoản để có hộp thư điện tử riêng và sử dụng dịch vụ.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Một tài khoản thư điện tử thường bao gồm những thành phần nào?,"Tên đăng nhập, mật khẩu và địa chỉ thư điện tử.",Tên người dùng và số điện thoại.,Chỉ cần địa chỉ thư điện tử.,Tên đăng nhập và ngày sinh.,A,"Tài khoản thư điện tử bao gồm tên đăng nhập, mật khẩu và được gắn với một địa chỉ thư điện tử.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Cấu trúc đúng của một địa chỉ thư điện tử là gì?,<địa chỉ máy chủ>@<tên đăng nhập>,<tên đăng nhập>@<địa chỉ máy chủ>,<tên đăng nhập>.<địa chỉ máy chủ>,<địa chỉ máy chủ>-<tên đăng nhập>,B,Địa chỉ thư điện tử có dạng <tên đăng nhập>@<địa chỉ máy chủ>.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,"Trong địa chỉ thư điện tử, thành phần nào do người dùng tự chọn khi đăng ký và thành phần nào do nhà cung cấp dịch vụ quy định?",Cả tên đăng nhập và địa chỉ máy chủ đều do người dùng chọn.,"Tên đăng nhập do người dùng chọn, địa chỉ máy chủ do nhà cung cấp quy định.",Cả tên đăng nhập và địa chỉ máy chủ đều do nhà cung cấp quy định.,"Tên đăng nhập do nhà cung cấp quy định, địa chỉ máy chủ do người dùng chọn.",B,"Tên đăng nhập do người dùng tự chọn, còn địa chỉ máy chủ do nhà cung cấp dịch vụ quy định.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Điều nào sau đây là đúng về địa chỉ thư điện tử?,Mỗi địa chỉ thư điện tử có thể trùng nhau nếu khác quốc gia.,Hai người có thể có cùng một địa chỉ thư điện tử.,Địa chỉ thư điện tử chỉ duy nhất trong một thành phố.,Mỗi địa chỉ thư điện tử là duy nhất trên toàn cầu.,D,"Mỗi địa chỉ thư điện tử là duy nhất trên toàn cầu, không có hai địa chỉ nào giống nhau.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Ưu điểm nổi bật của thư điện tử so với thư truyền thống là gì?,Thời gian gửi và nhận thư rất lâu.,Chỉ có thể gửi cho một người duy nhất.,"Tốc độ gửi nhận nhanh, chi phí thấp và có thể gửi kèm tệp.",Không thể gửi kèm hình ảnh hay video.,C,"Thư điện tử có ưu điểm gửi nhận nhanh, chi phí thấp và có thể gửi kèm nhiều loại tệp.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Thư điện tử có thể gửi kèm những loại tệp nào?,Chỉ có thể gửi kèm văn bản.,Chỉ có thể gửi kèm hình ảnh và âm thanh.,"Thư điện tử có thể gửi kèm nhiều loại tệp như ảnh, âm thanh, video.",Không thể gửi kèm bất kỳ tệp nào.,C,"Thư điện tử có thể gửi kèm nhiều loại tệp khác nhau, không chỉ văn bản.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Một trong những lợi ích của việc sử dụng thư điện tử là gì?,Khó khăn trong việc tìm lại thư cũ.,"Dễ dàng lưu trữ và tìm kiếm thư đã gửi, nhận.",Không thể lưu trữ thư đã đọc.,Thư sẽ tự động xóa sau một thời gian.,B,Thư điện tử cho phép lưu trữ và tìm kiếm các thư đã gửi hoặc nhận một cách dễ dàng.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Nhược điểm của việc sử dụng thư điện tử là gì?,Không cần kết nối mạng vẫn có thể gửi nhận thư.,"Rất an toàn, không bao giờ bị virus hay thư rác.",Chi phí sử dụng rất cao.,"Cần kết nối mạng, có thể bị virus, thư rác, lừa đảo.",D,"Nhược điểm của thư điện tử là cần kết nối mạng và có nguy cơ bị virus, thư rác, lừa đảo.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Thao tác nào sau đây KHÔNG phải là thao tác cơ bản khi sử dụng thư điện tử?,Đăng nhập.,Soạn thư.,Mua sắm trực tuyến.,Gửi thư.,C,"Mua sắm trực tuyến không phải là thao tác cơ bản của việc sử dụng thư điện tử. Các thao tác cơ bản bao gồm đăng nhập, soạn, gửi, xem và đăng xuất.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-8-thu-dien-tu,Tại sao người dùng nên luôn đăng xuất khỏi hộp thư điện tử khi không sử dụng?,Để tiết kiệm pin cho máy tính.,Để người khác có thể dễ dàng truy cập vào hộp thư của bạn.,Để bảo mật thông tin cá nhân và tránh bị lạm dụng tài khoản.,Để thư điện tử tự động cập nhật phiên bản mới.,C,Luôn đăng xuất khỏi hộp thư khi không sử dụng là để bảo mật thông tin cá nhân.,2
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,Tác hại nào sau đây thường gặp nhất khi sử dụng Internet?,Máy tính chạy nhanh hơn.,Có nhiều bạn bè mới.,Học được nhiều điều hay.,Thông tin cá nhân dễ bị lộ hoặc đánh cắp.,D,"Nội dung bài học nêu rõ ""Thông tin cá nhân dễ bị lộ hoặc đánh cắp"" là tác hại phổ biến khi dùng Internet.",1
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,Đâu KHÔNG phải là một tác hại hoặc nguy cơ khi sử dụng Internet?,"Dễ bị lừa đảo, dụ dỗ, đe doạ, bắt nạt trên mạng.","Tiếp nhận thông tin không chính xác, gây hiểu lầm.",Có thể kết nối với bạn bè và người thân ở xa.,Máy tính có thể bị nhiễm virus hoặc mã độc.,C,"Kết nối với bạn bè và người thân là lợi ích của Internet, không phải tác hại hay nguy cơ.",2
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Ngoài các nguy cơ về thông tin và mã độc, tác hại nghiêm trọng nào khác có thể xảy ra khi sử dụng Internet quá mức?",Giúp tăng cường khả năng giao tiếp xã hội.,Gây nghiện Internet và trò chơi trực tuyến.,Cải thiện kỹ năng tìm kiếm thông tin.,Mở rộng kiến thức về thế giới.,B,Nghiện Internet và trò chơi trực tuyến là một tác hại nghiêm trọng được đề cập trong bài học.,1
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,Đâu KHÔNG phải là một trong năm quy tắc an toàn khi sử dụng Internet?,Giữ an toàn thông tin cá nhân.,Không gặp gỡ người lạ quen qua mạng một mình.,Chia sẻ mọi thông tin cá nhân để kết bạn.,Kiểm tra độ tin cậy của thông tin trước khi tin.,C,"Năm quy tắc vàng bao gồm Giữ, Không, Đừng, Kiểm, Nói. Chia sẻ mọi thông tin cá nhân là hành động không an toàn.",2
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Để bảo vệ thông tin cá nhân và tài khoản trên Internet một cách hiệu quả, ai nên là người hỗ trợ chúng ta?",Bạn bè cùng lớp.,Người lớn trong gia đình.,Người lạ trên mạng.,Tự mình quyết định mọi thứ.,B,Bài học nhấn mạnh thông tin cá nhân và tài khoản cần được bảo vệ cẩn thận với sự hỗ trợ của người lớn.,1
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,Biện pháp nào sau đây giúp bảo vệ máy tính khỏi virus và mã độc?,Tải về các phần mềm trò chơi không rõ nguồn gốc.,Cài đặt và cập nhật phần mềm chống virus thường xuyên.,Mở tất cả các tệp đính kèm từ email lạ.,Truy cập các liên kết không an toàn.,B,Cài đặt và cập nhật phần mềm chống virus là biện pháp hiệu quả để bảo vệ máy tính khỏi các chương trình độc hại.,1
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Để bảo vệ tài khoản cá nhân trên Internet, em nên làm gì?",Sử dụng mật khẩu dễ đoán như ngày sinh.,Chia sẻ mật khẩu cho bạn bè thân thiết.,Sử dụng mật khẩu mạnh và luôn đăng xuất tài khoản sau khi dùng.,Để tài khoản luôn đăng nhập để tiện sử dụng.,C,Sử dụng mật khẩu mạnh và đăng xuất tài khoản sau khi dùng là cách bảo vệ tài khoản cá nhân an toàn.,1
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Để tránh bị lừa đảo trực tuyến, em nên thực hiện hành động nào sau đây?",Truy cập mọi liên kết được gửi đến.,Mở tất cả các tệp từ người không quen.,Chỉ truy cập liên kết đáng tin cậy và không mở tệp từ người không quen.,Chia sẻ thông tin cá nhân khi được yêu cầu qua email lạ.,C,Tránh truy cập liên kết lạ hoặc mở tệp từ người không quen là biện pháp phòng ngừa lừa đảo trực tuyến.,2
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Khi sử dụng Internet, điều gì KHÔNG nên làm liên quan đến việc chia sẻ thông tin?",Chia sẻ thông tin cá nhân với người mình tin cậy.,Luôn xác nhận thông tin trước khi chia sẻ.,Lan truyền tin giả hoặc thông tin chưa được kiểm chứng.,Hỏi ý kiến người lớn trước khi chia sẻ thông tin quan trọng.,C,Không chia sẻ thông tin chưa được kiểm chứng hoặc lan truyền tin giả là một quy tắc an toàn quan trọng trên mạng.,2
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Khi em nhận được một thông điệp lạ yêu cầu cung cấp thông tin cá nhân như mật khẩu hoặc số điện thoại, em nên làm gì?",Cung cấp ngay lập tức để xem có chuyện gì.,Bỏ qua và không nói cho ai biết.,"Cảnh giác, không cung cấp thông tin và hỏi ý kiến người lớn.",Chia sẻ thông điệp đó cho bạn bè để cùng xem.,C,Cần cảnh giác với các thông điệp lừa đảo và không cung cấp thông tin cá nhân. Hãy hỏi ý kiến người lớn để được hỗ trợ.,3
chu-de-4-dao-duc-phap-luat-va-va-bai-9-an-toan-thong-tin-tren-internet,"Nếu một người bạn quen qua mạng yêu cầu thông tin cá nhân của em, em nên làm gì trước khi quyết định chia sẻ?",Cung cấp ngay vì đó là bạn của em.,Luôn xác nhận thông tin cá nhân và hỏi ý kiến người lớn.,Chia sẻ một phần thông tin để xem phản ứng của họ.,Chỉ chia sẻ khi họ hứa sẽ giữ bí mật.,B,"Luôn xác nhận thông tin cá nhân trước khi chia sẻ, đặc biệt với người quen qua mạng và cần sự hỗ trợ của người lớn.",2
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Sơ đồ tư duy là gì?,Phương pháp trình bày thông tin một cách trực quan.,Phương pháp ghi chép thông tin chỉ bằng văn bản.,Phương pháp sắp xếp thông tin theo thứ tự bảng chữ cái.,Phương pháp chỉ dùng hình ảnh để biểu diễn ý tưởng.,A,"Sơ đồ tư duy là phương pháp ghi nhớ, sắp xếp thông tin trực quan bằng từ khóa, hình ảnh, đường nối.",1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,"Để biểu diễn thông tin, sơ đồ tư duy sử dụng những yếu tố nào?",Chỉ sử dụng văn bản và số liệu.,"Từ khóa, hình ảnh và đường nối.",Các đoạn văn dài và mũi tên.,Chỉ sử dụng hình ảnh và biểu đồ.,B,"Sơ đồ tư duy dùng từ khóa, hình ảnh, đường nối để biểu diễn thông tin.",1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Lợi ích chính của sơ đồ tư duy đối với việc ghi nhớ thông tin là gì?,Giúp ghi nhớ thông tin trong thời gian ngắn.,Chỉ giúp ghi nhớ các con số và dữ liệu khô khan.,Làm cho thông tin trở nên phức tạp hơn.,Giúp bộ não ghi nhớ thông tin dễ dàng và lâu hơn.,D,Sơ đồ tư duy giúp bộ não ghi nhớ thông tin tốt hơn và lâu hơn.,1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,"Ngoài việc ghi nhớ, sơ đồ tư duy còn có lợi ích nào khác cho tư duy?",Hạn chế khả năng phân tích vấn đề.,Giới hạn các ý tưởng mới.,Chỉ giúp tổng hợp thông tin mà không phân tích.,"Thúc đẩy tư duy, nảy sinh ý tưởng và tăng khả năng sáng tạo.",D,"Sơ đồ tư duy thúc đẩy tư duy, nảy sinh ý tưởng và tăng khả năng sáng tạo.",2
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,"Khi tạo sơ đồ tư duy, chủ đề chính được đặt ở vị trí nào?",Ở vị trí trung tâm của sơ đồ.,Ở cuối cùng của sơ đồ.,Ở góc trên bên trái của trang giấy.,Ở bất kỳ vị trí nào tùy ý.,A,"Chủ đề chính là ý tưởng trung tâm của sơ đồ tư duy, đặt ở giữa.",1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Các chủ đề nhánh trong sơ đồ tư duy được phát triển như thế nào?,Được liệt kê độc lập không liên quan đến chủ đề chính.,Được vẽ và phát triển từ chủ đề chính.,Được đặt ngẫu nhiên xung quanh chủ đề chính.,Chỉ là các ghi chú phụ không có cấu trúc.,B,"Các chủ đề nhánh triển khai từ chủ đề chính, có mối liên hệ.",1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,"Để trình bày thông tin chi tiết trên sơ đồ tư duy, chúng ta nên sử dụng gì?",Các đoạn văn dài và phức tạp.,Chỉ các con số và dữ liệu.,Từ khóa hoặc hình ảnh.,Các biểu đồ và bảng biểu.,C,Thông tin chi tiết trên sơ đồ tư duy nên dùng từ khóa hoặc hình ảnh.,1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Việc sử dụng màu sắc đa dạng trong sơ đồ tư duy có tác dụng gì?,Làm cho sơ đồ trông đẹp mắt hơn nhưng không có lợi ích khác.,"Chỉ để trang trí, không ảnh hưởng đến khả năng ghi nhớ.","Kích thích não bộ, giúp ghi nhớ và tăng hứng thú.",Giúp phân biệt các chủ đề chính và chủ đề nhánh một cách rõ ràng.,C,"Dùng màu sắc để kích thích não bộ, giúp ghi nhớ và tăng hứng thú.",2
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Lợi ích của việc tạo sơ đồ tư duy bằng phần mềm là gì?,Chỉ giúp tạo nhanh hơn nhưng khó sửa chữa.,"Giúp việc tạo, sửa chữa và chia sẻ thông tin dễ dàng hơn.",Bắt buộc phải có kết nối internet để sử dụng.,Chỉ phù hợp cho những người có kỹ năng vẽ kém.,B,"Phần mềm giúp tạo sơ đồ tư duy dễ dàng, nhanh chóng, dễ sửa chữa, điều chỉnh, chia sẻ thông tin.",2
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Phần mềm nào sau đây được nhắc đến là phần mềm chuyên dụng để tạo sơ đồ tư duy?,Google Chrome.,Microsoft Word.,Adobe Photoshop.,MindMaple Lite.,D,MindMaple Lite là một trong những phần mềm chuyên dụng để tạo sơ đồ tư duy được nhắc đến trong bài học.,1
chu-de-5-ung-dung-tin-hoc-bai-10-so-do-tu-duy,Sơ đồ tư duy được ứng dụng rộng rãi trong những lĩnh vực nào?,Chỉ dùng trong nghệ thuật và giải trí.,"Trong học tập, lập kế hoạch và trao đổi thông tin.",Chỉ dùng để ghi chép cá nhân.,Chỉ dùng trong các cuộc họp kinh doanh.,B,"Sơ đồ tư duy được ứng dụng rộng rãi trong học tập, lập kế hoạch và trao đổi thông tin.",2
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,Chức năng cơ bản nào sau đây KHÔNG phải của phần mềm soạn thảo văn bản?,Tạo và biên tập văn bản.,Lưu trữ và in văn bản.,Chỉnh sửa và định dạng văn bản.,Thiết kế đồ họa chuyên nghiệp.,D,"Phần mềm soạn thảo văn bản tập trung vào việc xử lý văn bản, không phải thiết kế đồ họa chuyên nghiệp.",1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,Chức năng nào dưới đây thuộc nhóm chức năng nâng cao của phần mềm soạn thảo văn bản?,Tạo văn bản mới.,Xem lại và theo dõi thay đổi tài liệu.,In tài liệu ra giấy.,Chỉnh sửa lỗi chính tả đơn giản.,B,"Các chức năng như xem lại, theo dõi thay đổi, lưu trữ đám mây và làm việc cộng tác là những chức năng nâng cao.",2
